"time","sarja","values"
1999-07-14,"euribor1kk",2.626
1999-07-14,"euribor1vko",2.588
1999-07-14,"euribor3kk",2.664
1999-07-14,"euribor6kk",2.866
1999-07-15,"euribor12kk",2.964
1999-07-15,"euribor1kk",2.629
1999-07-15,"euribor1vko",2.622
1999-07-15,"euribor3kk",2.663
1999-07-15,"euribor6kk",2.86
1999-07-16,"euribor12kk",3.069
1999-07-16,"euribor1kk",2.65
1999-07-16,"euribor1vko",2.651
1999-07-16,"euribor3kk",2.693
1999-07-16,"euribor6kk",2.932
1999-07-19,"euribor12kk",3.091
1999-07-19,"euribor1kk",2.659
1999-07-19,"euribor1vko",2.661
1999-07-19,"euribor3kk",2.699
1999-07-19,"euribor6kk",2.942
1999-07-20,"euribor12kk",3.094
1999-07-20,"euribor1kk",2.663
1999-07-20,"euribor1vko",2.66
1999-07-20,"euribor3kk",2.703
1999-07-20,"euribor6kk",2.948
1999-07-21,"euribor12kk",3.075
1999-07-21,"euribor1kk",2.658
1999-07-21,"euribor1vko",2.653
1999-07-21,"euribor3kk",2.697
1999-07-21,"euribor6kk",2.937
1999-07-22,"euribor12kk",3.05
1999-07-22,"euribor1kk",2.632
1999-07-22,"euribor1vko",2.589
1999-07-22,"euribor3kk",2.681
1999-07-22,"euribor6kk",2.917
1999-07-23,"euribor12kk",3.09
1999-07-23,"euribor1kk",2.632
1999-07-23,"euribor1vko",2.592
1999-07-23,"euribor3kk",2.685
1999-07-23,"euribor6kk",2.932
1999-07-26,"euribor12kk",3.094
1999-07-26,"euribor1kk",2.63
1999-07-26,"euribor1vko",2.597
1999-07-26,"euribor3kk",2.685
